pele,cor,tamanho,carne,y
peludo,marrom,grande,dura,seguro
peludo,verde,grande,dura,seguro
liso,vermelho,grande,macia,perigoso
peludo,verde,grande,macia,seguro
peludo,vermelho,pequeno,dura,seguro
liso,vermelho,pequeno,dura,seguro
liso,marrom,pequeno,dura,seguro
peludo,verde,pequeno,macia,perigoso
liso,verde,pequeno,dura,perigoso
peludo,vermelho,grande,dura,seguro
liso,marrom,grande,macia,seguro
liso,verde,pequeno,macia,perigoso
peludo,vermelho,pequeno,macia,seguro
liso,vermelho,grande,dura,perigoso
liso,verde,grande,dura,
liso,preto,  grande,  macia,
peludo,  marrom,  grande,macia,
peludo,  vermelho,  grande,macia,
